"Chapter","Type","Number","Springer ID","Source file","Caption","Alt Text"
"Chapter 9: Physical and Fourier Space on Grids","Figure","Fig. 9.4","fig9_4","figures/ch09/python/sinc_interpolation.pdf","Band-limited interpolation of three grid functions ($h = 1$). _Top_: The Kronecker delta $delta_j$ and its interpolant, the sinc function $S_h (x)$. _Middle_: A discrete square wave and its interpolant, exhibiting the Gibbs phenomenon near discontinuities. _Bottom_: A discrete triangular (hat) function and its interpolant, showing moderate oscillations.","Three stacked panels showing band-limited sinc interpolation of grid functions with spacing one. The top panel plots a single Kronecker delta spike and its smooth sinc-function interpolant with decaying side lobes. The middle panel plots a discrete square wave whose interpolant overshoots and ripples near the jumps, the Gibbs phenomenon. The bottom panel plots a discrete triangular hat function whose interpolant is smoother but still shows mild oscillations, illustrating that interpolation quality tracks the underlying smoothness."
"Chapter 9: Physical and Fourier Space on Grids","Table","Table 9.3","tbl9_3","live text table (no image file)","FFT indexing conventions for $N$ even. The wavenumber vector in Python is `np.fft.fftfreq(N)*N`, and in MATLAB it is `[0:N/2, -N/2+1:-1]`.","Table mapping FFT index conventions for even N across MATLAB one-based indices, Python zero-based indices, and the mathematical wavenumber k, identifying which entries hold the constant mean, positive modes, the Nyquist mode, and negative modes."
"Chapter 9: Physical and Fourier Space on Grids","Table","Table 9.4","tbl9_4","live text table (no image file)","Maximum error in the spectral derivative of $f(x) = exp(sin x)$ for various grid sizes $N$. The exponential convergence to machine precision is characteristic of spectral methods applied to analytic functions.","Table of the maximum error in the FFT-based spectral derivative of e to the power sine x for grid sizes N from four to thirty-two, showing the error plunging from about ten to the power minus one to machine precision near ten to the power minus fifteen, the signature of exponential spectral convergence for analytic functions."
"Chapter 9: Physical and Fourier Space on Grids","Figure","Fig. 9.5","fig9_5","figures/ch09/python/fft_aliasing.pdf","Aliasing in the FFT of $sin(17 x)$ with $N = 32$ points. The true frequency $k = 17$ lies above the Nyquist limit $N/2 = 16$. The FFT shows a spike at $k = -15$ because $17 = -15 + 32$: the frequency ""wraps around"" the Nyquist boundary.","Stem or bar plot of the FFT magnitude spectrum of sine of seventeen x sampled at thirty-two points, with wavenumber k on the horizontal axis spanning the resolved range. Instead of a peak at the true frequency seventeen, which lies above the Nyquist limit of sixteen, a single dominant spike appears at k equals minus fifteen, since seventeen wraps around to minus fifteen plus thirty-two."
"Chapter 9: Physical and Fourier Space on Grids","Figure","Fig. 9.6","fig9_6","figures/ch09/python/eye_aliasing.pdf","Visual aliasing: $sin(n)$ for integer $n = 1, dots, 3000$. Although the function oscillates rapidly (nearly one radian per step), the plotted points appear to trace a slowly varying envelope. The eye, acting as a sampler, aliases the high frequency to a low-frequency pattern.","Scatter plot of sine of n for integer n running from one to three thousand, with n on the horizontal axis and the sampled value on the vertical axis. Although the underlying sequence oscillates by nearly one radian per step, the plotted points group into a slowly varying band of overlapping sinusoidal stripes, an illusory low-frequency envelope produced because the eye undersamples the rapid oscillation."
"Chapter 9: Physical and Fourier Space on Grids","Figure","Fig. 9.7","fig9_7","figures/ch09/python/smoothness_spectra.pdf","Fourier spectra of three functions with different smoothness. _Left_: $exp(sin x)$ (analytic) shows exponential decay on a semilog plot. _Center_: Periodic hat function ($C^0$) shows algebraic decay $approx |k|^(-2)$ on a log-log plot. _Right_: Square wave (discontinuous) shows slow decay $approx |k|^(-1)$.","Three side-by-side spectra of periodic functions of differing smoothness. The left panel, on a semilog scale, shows the coefficients of the analytic function e to the power sine x falling on a straight line, indicating exponential decay. The center panel, on a log-log scale, shows the continuous hat function decaying as a power law of slope about minus two. The right panel, also log-log, shows the discontinuous square wave decaying more slowly as a power law of slope about minus one, confirming that lower regularity gives slower spectral decay."
"Chapter 9: Physical and Fourier Space on Grids","Table","Table 9.5","tbl9_5","live text table (no image file)","Smoothness classes and their characteristic Fourier decay rates.","Table linking smoothness classes to their characteristic Fourier decay rates, contrasting analytic functions that decay faster than any power, continuous-but-cornered functions decaying like the inverse square of the wavenumber, and discontinuous functions decaying like the inverse of the wavenumber."
"Chapter 9: Physical and Fourier Space on Grids","Figure","Fig. 9.8","fig9_8","figures/ch09/python/zero_padding_interpolation.pdf","Band-limited interpolation via zero-padding. _Top_: the true function $exp(sin x)$ (dashed), the interpolant from zero-padding to $M = 128$ points (solid), and the $N = 32$ coarse samples (circles). The curves are visually indistinguishable. _Bottom_: pointwise error $|p(x) - f(x)|$ on a logarithmic scale, confirming machine-precision accuracy for this analytic function.","Two stacked panels demonstrating zero-padding interpolation of e to the power sine x from thirty-two coarse samples up to one hundred twenty-eight points. The top panel overlays the true function (dashed), the zero-padded interpolant (solid), and the coarse samples (circles), all visually coincident. The bottom panel plots the pointwise absolute error on a logarithmic vertical axis, hovering near machine precision around ten to the power minus fourteen, confirming essentially exact interpolation for this analytic function."
"Chapter 9: Physical and Fourier Space on Grids","Table","Table 9.6","tbl9_6","live text table (no image file)","Quick reference for Fourier transforms in three settings.","Quick-reference table summarizing the forward and inverse Fourier transforms and their variable ranges for the continuous, semidiscrete, and discrete settings developed in the chapter."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Figure","Fig. 10.1","fig10_1","figures/ch10/python/cheb_fourier_geometry.pdf","The Chebyshev--Fourier connection. _Left_: The unit semicircle with equally-spaced angles $theta_j = j pi / N$ projecting to Chebyshev points $x_j = cos theta_j$ on the interval $[-1, 1]$. The clustering near $x = plus.minus 1$ is evident. _Right_: A Chebyshev polynomial $T_n (x)$ can be visualised as a cosine wave $cos(n theta)$ ""wrapped around a cylinder and viewed from the side.""","Two side-by-side geometric diagrams illustrating the Chebyshev-Fourier link. The left diagram shows a unit semicircle with equally spaced angles theta sub j equals j times pi over N marked along the arc; dashed vertical lines project each point down to the horizontal axis, landing on Chebyshev points x sub j equals cosine theta sub j on the interval minus one to one, which visibly bunch together near the two endpoints plus and minus one and spread out near the centre. The right diagram depicts a Chebyshev polynomial T sub n of x as a cosine wave cosine of n theta drawn on a cylinder and viewed edge-on, conveying that the polynomial is a wrapped cosine seen through the cosine map."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Figure","Fig. 10.2","fig10_2","figures/ch10/python/chebfft_accuracy.pdf","Chebyshev differentiation via FFT applied to $f(x) = e^x cos(4 x)$. _Left_: The function $f(x)$ on $[-1, 1]$ with Chebyshev nodes marked. _Centre_: Comparison of exact and FFT-computed derivative for $N = 16$. _Right_: Maximum error versus $N$ on a semilog scale, showing the characteristic straight-line descent of spectral convergence until machine precision is reached around $N = 24$.","Three panels demonstrating FFT-based Chebyshev differentiation of the function e to the power x times cosine of four x. The left panel plots the smooth oscillating function on minus one to one with the Chebyshev nodes marked as dots that cluster toward the endpoints. The centre panel overlays the FFT-computed derivative for N equal to sixteen on the exact derivative, the two curves coinciding. The right panel is a semilog plot of maximum error against N, where the error descends in a straight line, signalling exponential spectral convergence, until it flattens at machine precision near ten to the power minus fifteen around N equal to twenty-four."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Table","Table 10.1","tbl10_1","live text table (no image file)","Model time integrators for different PDE types. CN denotes Crank--Nicolson.","Table listing model time integrators for each PDE class, giving the semidiscrete form, typical schemes, and stability notes for wave, diffusion, and advection problems, showing that hyperbolic and advection equations use explicit schemes with a time step scaling like N to the minus two while diffusion prefers implicit schemes."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Figure","Fig. 10.3","fig10_3","figures/ch10/python/wave1d_waterfall.pdf","Solution of the 1D wave equation @eq-wave-1d with initial half-sine profile. The waterfall plot shows $u(x, t)$ for $t in [0, 6]$. The initial shape splits into two counter-propagating waves, which reflect at the fixed boundaries ($x = plus.minus 1$) with a sign change. The waves pass through each other and interfere, creating the characteristic standing wave pattern.","Waterfall plot of the one-dimensional wave equation solution u of x and t, with the spatial coordinate x from minus one to one along one horizontal axis and time t from zero to six stacked into the depth, the displacement shown as a sequence of offset profiles. The initial half-sine hump splits into two oppositely travelling pulses that bounce off the fixed ends at plus and minus one, inverting sign on each reflection, then cross and superpose to build a repeating standing-wave pattern, with no visible decay or spreading over the long integration."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Figure","Fig. 10.4","fig10_4","figures/ch10/python/wave2d_snapshots.pdf","Solution of the 2D wave equation @eq-wave-2d showing a vibrating drum membrane. Four snapshots at times $t = 0$, $0.33$, $0.67$, and $1.0$. The initial Gaussian bump spreads into a circular wavefront, which reflects off the fixed boundaries and creates complex interference patterns. The tensor-product Chebyshev grid clusters points near all four edges.","Four contour or surface snapshots of a vibrating square drum membrane governed by the two-dimensional wave equation, at times zero, zero point three three, zero point six seven, and one. The first frame shows a single localised Gaussian bump placed off-centre; later frames show it expanding into a circular ring-shaped wavefront that strikes the fixed edges, reflects, and overlaps itself to form progressively more intricate interference patterns across the domain. The underlying tensor-product Chebyshev grid is denser near all four edges."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Figure","Fig. 10.5","fig10_5","figures/ch10/python/heat1d_evolution.pdf","Solution of the 1D heat equation @eq-heat-1d with two-bump initial data. _Main panel_: Space--time surface showing diffusion and decay. _Insets_: Four snapshots at $t = 0$, $0.1$, $0.3$, and $1.0$. The two initial hot spots spread, merge, and eventually decay towards the zero steady state required by the boundary conditions.","Combined view of the one-dimensional heat equation solution starting from two Gaussian hot spots of unequal height. The main panel is a space-time surface over x from minus one to one and increasing time, showing the warm regions smearing out and sinking in amplitude. Four inset line plots at times zero, zero point one, zero point three, and one capture successive snapshots in which the two bumps broaden, merge into one wider hump, and decay toward the flat zero steady state forced by the boundary conditions, illustrating irreversible diffusion."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Figure","Fig. 10.6","fig10_6","figures/ch10/python/heat2d_snapshots.pdf","Solution of the 2D heat equation @eq-heat-2d. Four snapshots at times $t = 0$, $0.05$, $0.15$, and $0.5$. The initial hot spot diffuses isotropically, spreading and decaying towards the zero steady state.","Four contour or surface snapshots of the two-dimensional heat equation on a square at times zero, zero point zero five, zero point one five, and zero point five. The first frame shows a single concentrated Gaussian hot spot; the following frames show it diffusing outward symmetrically in all directions while its peak height steadily drops, smoothing toward the uniform zero steady state set by the fixed cold boundaries."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Figure","Fig. 10.7","fig10_7","figures/ch10/python/poisson2d_solution.pdf","Solution of the 2D Poisson equation @eq-poisson-spectral with manufactured solution @eq-poisson-manufactured (four panels in a 2$times$2 grid). _(a)_: exact solution $u_(""exact"")(x, y)$. _(b)_: numerical solution $u_N(x, y)$ at $N = 32$, visually indistinguishable from (a). _(c)_: pointwise $log_(10) |u_N - u_(""exact"")|$, confirming machine-precision accuracy throughout the interior. _(d)_: spectral convergence --- max-norm error versus $N$ on a semi-log axis. The error drops by roughly four orders of magnitude per four extra modes and saturates at machine precision $tilde.op 10^(-15)$ by $N approx 16$.","Four-panel two-by-two figure for the two-dimensional Poisson solver with a manufactured exact solution. Panel a shows a surface or contour of the exact solution over the square. Panel b shows the spectral numerical solution at N equal to thirty-two, indistinguishable by eye from panel a. Panel c maps the base-ten logarithm of the pointwise absolute error, which sits uniformly at machine precision throughout the interior. Panel d is a semilog plot of maximum error versus N, the error falling about four orders of magnitude for every four extra modes and levelling off at roughly ten to the power minus fifteen by N approximately sixteen, confirming exponential spectral convergence."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Table","Table 10.2","tbl10_2","live text table (no image file)","Convergence of the 2D Poisson spectral solver with manufactured solution @eq-poisson-manufactured. The error decays exponentially until reaching machine precision around $N = 16$, a hallmark of spectral methods applied to smooth problems.","Table reporting the maximum pointwise error of the two-dimensional Poisson spectral solver for grid sizes N from four to thirty-two, showing the error plunging from about six times ten to the minus two down to machine precision near ten to the minus fifteen by N equal to sixteen, after which it saturates."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Table","Table 10.3","tbl10_3","live text table (no image file)","Computational complexity of spectral differentiation by method. The matrix-based approach uses dense matrix-vector or matrix-matrix multiplication. The FFT-based approach uses the Chebyshev--Fourier connection. The tensor-product form $D_2 U + U D_2^top$ achieves $O(N^3)$ without explicit Kronecker products.","Table comparing the computational complexity of matrix-based versus FFT-based spectral differentiation for first and second one-dimensional derivatives and the two-dimensional Laplacian, showing the FFT approach reaching N log N or N squared log N cost where dense matrices need N squared, N cubed, or N to the fourth."
"Chapter 10: Spectral PDE Solvers with Chebyshev and Fourier Grids","Table","Table 10.4","tbl10_4","live text table (no image file)","Summary of PDEs and methods presented in this chapter.","Table summarising every PDE treated in the chapter alongside its section, grid type, time-stepping scheme, and key operation, spanning one- and two-dimensional wave, heat, Poisson, Helmholtz, and transport problems."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.1","fig11_1","figures/ch11/python/fourier_diff_accuracy.pdf","Spectral convergence of Fourier differentiation for the test function $u(x) = e^(sin x)$. Both the matrix approach ($D bold(u)$) and the FFT approach ($cal(F)^(-1)(i k hat(u))$) achieve machine precision for $N gt.eq.slant 30$, confirming that the two methods are algebraically equivalent.","Semilog convergence plot for differentiating e to the power sine x on a periodic grid: the horizontal axis is the number of grid points N (linear) and the vertical axis is the maximum error (logarithmic). Two overlapping curves, one for the dense circulant matrix and one for the FFT route, fall exponentially with N and flatten near ten to the power minus fifteen for N at or above thirty, showing the two methods are numerically identical and both reach machine precision."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.2","fig11_2","figures/ch11/python/fourier_diff_timing.pdf","Computational cost of Fourier differentiation. The dense matrix approach scales as $O(N^2)$; the FFT approach as $O(N log N)$. For $N = 2048$ the FFT is roughly 1000 times faster.","Log-log timing plot with the grid size N on the horizontal axis and wall-clock time on the vertical axis. The dense matrix curve rises as a steep straight line of slope two (order N squared), while the FFT curve rises much more gently (order N log N); the widening vertical gap shows the FFT becoming about a thousand times faster by N equal to two thousand forty-eight."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.3","fig11_3","figures/ch11/python/advection_comparison.pdf","Fourier pseudospectral versus second-order upwind finite differences for linear advection after one full period ($t = 2 pi$, $N = 128$). _Left_: The spectral solution (blue) is visually indistinguishable from the exact initial condition. The finite difference solution (red dashes) shows significant dispersion and dissipation. _Right_: Pointwise error on a logarithmic scale, confirming spectral accuracy (errors near machine precision) versus second-order accuracy.","Two-panel comparison of linear advection after one full period at N equal to one hundred twenty-eight. Left panel plots the solution profile versus x: the blue Fourier spectral curve sits exactly on the exact Gaussian pulse, while the red dashed second-order upwind finite-difference curve is broadened and lagged by numerical dispersion and dissipation. Right panel shows pointwise error versus x on a logarithmic scale: the spectral error hovers near machine precision while the finite-difference error is many orders of magnitude larger."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.4","fig11_4","figures/ch11/python/burgers_evolution.pdf","Viscous Burgers equation @eq-burgers with $nu = 0.01$ and initial condition $u_0 (x) = sin x$. _Left_: Space-time diagram showing the steepening of the initial sine wave into a sharp front. _Right_: Snapshots at selected times illustrating the progressive formation of the viscous shock structure.","Two-panel evolution of the viscous Burgers equation with viscosity zero point zero one starting from sine x. Left panel is a space-time color map (x horizontal, time vertical) where the smooth sine wave steepens into a sharp near-vertical front around x equal to pi. Right panel overlays solution profiles versus x at several increasing times, showing the sine progressively sharpening into a thin viscous shock layer."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.5","fig11_5","figures/ch11/python/burgers_dealiasing.pdf","Effect of dealiasing on the Burgers equation at $t = 1.0$. _Left_: Energy spectra $|hat(u)_k|^2$ with and without the two-thirds rule. Without dealiasing, energy piles up near the Nyquist frequency. _Right_: Physical space solutions; the differences are subtle here but grow for longer integration times or smaller viscosities.","Two-panel study of dealiasing for Burgers at time one. Left panel plots the energy spectrum, magnitude of u-hat-k squared, versus wavenumber on a logarithmic vertical scale for runs with and without the two-thirds rule; the undealiased curve turns upward and piles energy near the Nyquist wavenumber, while the dealiased curve keeps decaying smoothly. Right panel shows the two physical-space solutions versus x nearly coinciding, the visible differences being small at this time."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.6","fig11_6","figures/ch11/python/kdv_zabusky_kruskal.pdf","The Zabusky--Kruskal experiment: KdV with initial condition $u(x, 0) = cos(pi x)$ on $[0, 2)$. _Left_: Space-time diagram showing the formation of a soliton train from the steepening cosine wave. _Right_: Snapshots at selected times. The initial cosine steepens, breaks into distinct solitons of different amplitudes and speeds, and exhibits the characteristic structure that led Zabusky and Kruskal to coin the term ""soliton.""","Two-panel Zabusky-Kruskal KdV experiment from initial condition cosine of pi x on the interval zero to two. Left panel is a space-time color map (x horizontal, time vertical) in which the steepening cosine breaks into several diagonal streaks of differing slope, the trajectories of solitons of different amplitudes and speeds. Right panel overlays solution profiles versus x at selected times, showing the smooth cosine splitting into a train of distinct sharp soliton pulses."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.7","fig11_7","figures/ch11/python/kdv_snapshots.pdf","Two-soliton collision for the KdV equation @eq-kdv with $a_1 = 1$, $a_2 = 0.5$ on $[0, 80)$. The four panels show the solution before, during, and after the interaction. The taller soliton overtakes the shorter one; after the collision, both re-emerge essentially unchanged, shifted in phase.","Four-panel sequence of a two-soliton KdV collision on the domain zero to eighty, with soliton parameters one and zero point five. Each panel plots the solution versus x at a successive time: before the interaction the taller, faster pulse trails the shorter, slower one; during the collision they merge into a single hump; and afterward both pulses re-emerge with their original shapes intact, only shifted in position relative to where they would have been without interaction."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.8","fig11_8","figures/ch11/python/nls_recurrence.pdf","NLS modulation instability and recurrence with initial condition $u(x, 0) = 1 + 0.1 cos x$. _Left_: Space-time diagram of $|u(x, t)|$ showing periodic modulation cycles driven by the focusing nonlinearity. _Right_: Relative deviation of the $L^2$ norm from its initial value, confirming that the split-step method preserves the norm to machine precision.","Two-panel nonlinear Schrödinger simulation from the perturbed plane wave one plus zero point one cosine x. Left panel is a space-time color map of the amplitude magnitude of u (x horizontal, time vertical) showing repeating bands of focused modulation, the recurrence cycles driven by modulation instability. Right panel plots the relative deviation of the L-two norm from its initial value versus time, staying flat at the level of machine precision and confirming the split-step method conserves the norm."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.9","fig11_9","figures/ch11/python/ks_spacetime.pdf","Kuramoto--Sivashinsky equation @eq-ks with $L = 32 pi$: the space-time ""fingerprint"" of spatiotemporal chaos. The initial random perturbation develops into a pattern of merging and splitting cellular structures, a hallmark of the KS dynamics. The per-step IF-RK4 handles the severe stiffness ($lambda_k tilde.op k^4$) without difficulty.","Space-time color map of the Kuramoto-Sivashinsky equation on a domain of length thirty-two pi, with x on the horizontal axis and time on the vertical axis. After a brief transient the field settles into a statistically steady pattern of cellular stripes that continually merge and split, the characteristic fingerprint of spatiotemporal chaos handled stably despite the strong fourth-derivative stiffness."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.10","fig11_10","figures/ch11/python/ks_spectrum.pdf","Time-averaged energy spectrum of the KS equation in the statistically steady chaotic regime. Energy is concentrated at low wavenumbers (the linearly unstable range $|k| < 1$) and decays rapidly at high wavenumbers due to the fourth-derivative damping.","Time-averaged energy spectrum of the Kuramoto-Sivashinsky equation in its chaotic steady state, plotting energy versus wavenumber on a logarithmic scale. Energy peaks at low wavenumbers within the linearly unstable band where the magnitude of k is below one, then falls off steeply toward high wavenumbers as the fourth-derivative term damps small scales."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.11","fig11_11","figures/ch11/python/ns2d_vorticity.pdf","2D Navier--Stokes: decaying turbulence on $[0, 2 pi)^2$ with $nu = 10^(-3)$ and $N = 128$. Vorticity snapshots at $t = 0$, $5$, $10$, and $20$. Small-scale structures merge into large coherent vortices, demonstrating the inverse energy cascade characteristic of two-dimensional turbulence.","Four vorticity snapshots of two-dimensional decaying turbulence on the periodic square zero to two pi, with viscosity ten to the power minus three and N equal to one hundred twenty-eight, shown at times zero, five, ten, and twenty. Each is a color map of vorticity over the plane; the initially fine-grained field of many small positive and negative vortices progressively merges into a few large coherent vortex blobs, illustrating the inverse energy cascade."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.12","fig11_12","figures/ch11/python/ns2d_energy.pdf","Diagnostics for 2D decaying turbulence. _Left_: Kinetic energy $E(t) = frac(1, 2) chevron.l |bold(u)|^2 chevron.r$ decays slowly as energy cascades to large scales and is eventually dissipated. _Right_: Enstrophy $Z(t) = frac(1, 2) chevron.l omega^2 chevron.r$ decays much faster, consistent with the selective decay principle of two-dimensional turbulence.","Two-panel diagnostics for two-dimensional decaying turbulence, both plotting a quantity versus time. Left panel shows kinetic energy declining slowly and gradually as energy moves to large scales. Right panel shows enstrophy, the mean squared vorticity, decaying much more steeply and rapidly, consistent with the selective decay principle in which enstrophy is dissipated far faster than energy."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.13","fig11_13","figures/ch11/python/transport_variable.pdf","Solution of the variable-coefficient transport equation @eq-transport-variable. Left: space-time diagram showing the characteristic trajectory of a Gaussian pulse in a medium where $c(x) = 0.3 + sin^2(x - 1)$. The pulse accelerates in fast regions and decelerates in slow regions. Right: waterfall view of the same solution with vertical offset proportional to time.","Two-panel solution of variable-coefficient transport with wave speed zero point three plus sine squared of x minus one. Left panel is a space-time color map (x horizontal, time vertical) tracing a Gaussian pulse along a curved characteristic that bends as the pulse speeds up in fast regions and slows in slow regions. Right panel is a waterfall view stacking the pulse profiles with vertical offset growing in proportion to time, showing the pulse keeping its shape while translating at variable speed."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.14","fig11_14","figures/ch11/python/schrodinger.pdf","Solution of the Schrödinger equation @eq-schrodinger with harmonic potential using Strang splitting. Left: space-time evolution of the probability density $|u(x, t)|^2$ showing the oscillatory dynamics of a Gaussian wavepacket in the harmonic trap. Right: waterfall plot of $|u(x, t)|^2$ at selected times.","Two-panel Schrödinger simulation of a Gaussian wavepacket in a harmonic potential solved by Strang splitting. Left panel is a space-time color map of the probability density, magnitude of u squared (x horizontal, time vertical), tracing a periodic back-and-forth oscillation of the packet within the trap. Right panel is a waterfall plot stacking the probability density profiles at selected times, showing the packet breathing and shifting as it oscillates."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Figure","Fig. 11.15","fig11_15","figures/ch11/python/allen_cahn.pdf","Solution of the Allen--Cahn equation @eq-allen-cahn with $epsilon = 0.05$ using IMEX time stepping. Left: space-time evolution showing phase separation into regions where $u approx plus.minus 1$, followed by slow coarsening as fronts annihilate. Right: snapshots at selected times showing the initial perturbation, phase separation, and progressive front reduction.","Two-panel Allen-Cahn simulation with epsilon equal to zero point zero five solved by an implicit-explicit scheme. Left panel is a space-time color map (x horizontal, time vertical) in which a small initial perturbation rapidly separates into broad regions near plus one and minus one divided by thin fronts that slowly merge and disappear over time (coarsening). Right panel overlays profiles versus x at selected times, from the noisy initial state through sharp two-phase plateaus to fewer, wider domains."
"Chapter 11: Fourier Pseudospectral Methods for Periodic PDEs","Table","Table 11.1","tbl11_1","live text table (no image file)","Summary of computational études in this chapter.","Summary table listing the ten computational études of the chapter, giving for each its number, governing PDE, key spectral technique (such as FFT differentiation, two-thirds dealiasing, integrating factor, split-step Fourier, or IMEX), and the matching time stepper (RK4, IF-RK4, Strang, or Euler)."
"Chapter 12: Spectral Methods in Polar Coordinates","Figure","Fig. 12.1","fig12_1","figures/ch12/python/polar_grids.pdf","Two spectral grids on the unit disk with $N_r = 25$ radial and $M = 20$ angular points. _Left_: the naive grid maps Chebyshev points to $r in [0, 1]$, resulting in heavy clustering near the origin. The dashed circle (containing half the grid points) encloses only 25% of the disk area. _Right_: the doubled grid uses Chebyshev points on $r in [-1, 1]$ with odd $N_r$, keeping only the positive-$r$ half. No point falls at the origin, and the resolution is more uniformly distributed.","Two side-by-side scatter plots of grid points on the unit disk, each with twenty-five radial and twenty angular points. The left panel, the naive grid, shows points densely clustered in a tight knot around the centre, with a dashed circle marking where half the points lie yet enclosing only a quarter of the disk area. The right panel, the doubled grid, spreads points far more evenly across the disk with no point at the origin, illustrating that the doubling trick distributes resolution efficiently."
"Chapter 12: Spectral Methods in Polar Coordinates","Figure","Fig. 12.2","fig12_2","figures/ch12/python/polar_area_cfl.pdf","_Left_: area of each radial annulus for the naive and doubled grids. The naive grid allocates disproportionate area to the thin annuli near $r = 0$. _Right_: CFL time-step scaling. The naive grid forces $Delta t_(max) tilde.op N_r^(-4)$ (blue circles), while the doubled grid gives $Delta t_(max) tilde.op N_r^(-2)$ (red squares), a substantial improvement.","Two panels comparing the naive and doubled radial grids. The left panel plots annulus area against radial position, showing the naive grid wastes area on extremely thin annuli near the centre while the doubled grid keeps areas balanced. The right panel is a log-log plot of maximum stable time step versus radial point count, where blue circles for the naive grid fall along a steep slope of minus four and red squares for the doubled grid follow a gentler slope of minus two, demonstrating a far less restrictive time-step constraint."
"Chapter 12: Spectral Methods in Polar Coordinates","Figure","Fig. 12.3","fig12_3","figures/ch12/python/disk_eigenmodes.pdf","Six eigenmodes of the Laplacian on the unit disk, computed with $N_r = 25$ radial and $M = 20$ angular points. The modes display the characteristic Bessel function patterns: the fundamental mode ($m = 0$, $n = 1$) is a simple dome, while higher modes exhibit nodal diameters (radial lines) and nodal circles.","A grid of six color-mapped eigenmode patterns of the Laplacian on the unit disk, computed with twenty-five radial and twenty angular points. The fundamental mode is a single smooth dome of one sign, while the remaining modes show increasingly intricate Bessel-type patterns of alternating positive and negative regions separated by nodal diameters (straight node lines through the centre) and concentric nodal circles, matching classical drumhead vibration shapes."
"Chapter 12: Spectral Methods in Polar Coordinates","Figure","Fig. 12.4","fig12_4","figures/ch12/python/eigenvalue_convergence.pdf","_Left_: the first 25 computed eigenvalues (circles) agree with the exact Bessel zeros squared (crosses) to plotting accuracy. The degenerate pairs ($m gt.eq.slant 1$) appear as overlapping markers. _Right_: the error in the fundamental eigenvalue $lambda_(0,1)$ decreases exponentially with $N_r$, confirming spectral convergence.","Two panels validating the disk eigenvalues. The left panel plots the first twenty-five eigenvalues by index, with computed circles landing exactly on the exact squared Bessel zeros marked as crosses, and degenerate pairs for angular number at least one appearing as coincident markers. The right panel is a semilog plot of the error in the fundamental eigenvalue against radial point count, showing a straight downward line that signals exponential, spectral convergence to near machine precision."
"Chapter 12: Spectral Methods in Polar Coordinates","Figure","Fig. 12.5","fig12_5","figures/ch12/python/nodal_rotation.pdf","Nodal line rotation in the first degenerate eigenspace ($lambda approx 14.68$). As the mixing angle $phi$ varies, the single nodal diameter rotates continuously through the disk. The faint background shading shows the sign of the eigenmode (red positive, blue negative). This continuous family of modes reflects the underlying rotational symmetry of the circular domain.","A sequence of disk plots showing the single nodal diameter of the first degenerate eigenspace at eigenvalue approximately fourteen point sixty-eight. As the mixing angle phi increases, the straight node line rotates smoothly to successive orientations across the disk, over faint red and blue background shading marking positive and negative regions of the mode. The continuous rotation illustrates that any orientation is an equally valid eigenmode, reflecting the rotational symmetry of the circle."
